Gene	L21.Seq29.FA.11.WT.I	L22.Seq29.FA.11.KO.I	L23.Seq29.FA.12.WT.I	L24.Seq29.FA.12.KO.I	L25.Seq29.FA.13.WT.I	L26.Seq29.FA.13.KO.I	L27.Seq29.FA.14.WT.I	L28.Seq29.FA.14.KO.I	L29.Seq29.FA.15.WT.I	L30.Seq29.FA.15.KO.I
Asb8	1105.56107916876	1247.61533094754	1308.29257048858	1150.38749273274	1108.09308611641	1200.93235136808	1184.0421071285	1182.60060452318	1117.51051116995	1215.4188526918
Ascc1	564.960449778613	491.807408615839	452.116098197328	502.912762309711	463.677786520555	474.812078368147	582.074753906121	439.002290830378	452.011916664262	438.611165611184
Ascc2	1428.79715740031	1429.64794322743	1369.09777241533	1361.12219272891	1420.08045987734	1523.89011638426	1289.5593730669	1495.05153914997	1303.32299003194	1248.35485597029
Ascc3	1699.56593017977	1984.26192567083	2047.76228424299	1315.3103014254	1651.38144387251	1656.49529142401	1952.0694198605	1950.63642148289	2136.18459741332	1257.9946618079
Ascl3	0	0	1.96145812666953	2.03608405793405	0	7.48577601030862	5.18937373467567	0.872767973817849	0	0.803317153134036
Ascl4	0	5.32259100233592	0	1.01804202896703	4.30327412084042	1.06939657290123	3.45958248978378	2.61830392145355	0	0
Asf1a	288.570179986423	383.226552168186	417.790580980611	432.667862310986	330.276288774502	403.162507983764	403.04136005981	425.91077122311	430.926812679923	591.24142470665
Asf1b	1767.02389433244	2214.19785697174	1424.01859996208	2081.89594923757	1446.97592313259	1869.30520943135	1773.03602601419	2191.52038225662	1327.04373201432	2262.14110322545
Ash1l	2320.74135008561	1991.7135530741	2923.55333780094	1890.50404779177	1906.35043553231	1791.23925960956	1966.77264544208	1838.04935286039	2596.10342807171	1674.11294713133
Ash2l	1912.24590049444	1985.3264438713	1711.37221551917	1877.2695014152	1812.75422340403	1969.82848728407	1976.28649728898	1809.2480097244	1910.8375485807	1944.8308277375
Asic1	5.62149701272252	3.19355460140155	5.8843743800086	20.3608405793405	13.9856408927314	20.3185348851234	16.433016826473	15.7098235287213	13.1781899902117	8.03317153134036
Asl	899.439522035603	929.324389007852	786.544708794483	971.212095634542	836.986816503462	890.807345226726	909.005299190688	891.968869241841	763.017200433259	878.025648375501
Asna1	650.219821138238	630.194774676573	587.456708937525	660.7092767996	675.614036971946	707.940531260616	626.184430650864	676.395179708833	582.475997567358	658.720065569909
Asns	148.969670837147	269.323104718198	336.390068723825	298.286314487338	219.466980162861	250.238798058888	332.119919019243	228.665209140276	163.409555878625	194.402751058437
Asnsd1	307.308503362164	331.065160345294	343.255172167168	281.997642023866	242.059169297274	254.516384350493	258.603791111338	276.667447700258	329.454749755293	255.454854696623
Aspa	0	0	2.9421871900043	2.03608405793405	0	0	0	13.0915196072677	0	3.21326861253614
Asph	38.4135629202705	45.7742826200889	20.5953103300301	71.2629420276918	23.6680076646223	62.0250012282715	12.1085387142432	59.3482222196137	56.6662169579104	36.1492718910316
Asphd2	17.8014072069546	1.06451820046718	5.8843743800086	0	12.9098223625213	1.06939657290123	5.18937373467567	0	1.31781899902117	10.4431229907425
