Gene	L10.D8.Tox.WT5.Tim3n_S10	L12.D8.Tox.KO1.Tim3n_S12	L14.D8.Tox.KO2.Tim3n_S14	L16.D8.Tox.KO3.Tim3n_S1	L18.D8.Tox.KO4.Tim3n_S3	L20.D8.Tox.KO5.Tim3n_S5	L2.D8.Tox.WT1.Tim3n_S2	L4.D8.Tox.WT2.Tim3n_S4	L6.D8.Tox.WT3.Tim3n_S6	L8.D8.Tox.WT4.Tim3n_S8
Mrpl58	1055.00410363533	1372.82510312603	1077.48497854406	1161.21143339313	1268.04900633715	1336.09578444431	1278.50690129378	1118.60646012621	1179.45931752579	812.629053465204
Mrpl9	821.306749776276	1076.3246238456	846.833248206578	1199.88703759225	1275.83641067495	1110.90169546216	1010.67286825641	946.165916232662	961.208456277009	879.670950376084
Mrps10	864.584037527953	884.854094905878	911.782110900887	848.976677541684	1081.15130223014	835.478441651269	829.827666461942	869.425360049669	932.937619327685	933.507625168154
Mrps11	464.509555201336	500.054099852272	532.91374518408	483.91670619876	425.711437132637	453.736788952894	402.895639440833	400.856552297044	398.053384246479	347.398920356375
Mrps12	753.024806879185	910.879215344287	845.167892752877	732.00655752483	704.760092570188	777.714902098225	671.874262362979	769.211221975408	744.088428506202	750.666088138483
Mrps14	1779.17738534673	1953.74297005479	1816.90279998697	1685.69035862999	1759.95338034102	1592.26452507086	1451.33997389482	1536.61678380533	1601.2602048097	1459.68493728687
Mrps15	1052.11895111855	943.410615892297	865.98483592413	1188.56734855836	1087.64080584497	1187.91974819955	1293.38656979585	1470.71018849523	1425.98101572389	1333.72743399977
Mrps16	1391.60523059282	1441.6057785704	1252.34730118259	1231.95948985493	1107.10931668945	1417.29960091743	1553.2084736398	1290.14417394702	1418.06518137808	944.6812746533
Mrps17	1368.5240104586	1446.25312150583	1326.45561887225	1225.3563379185	1017.55416680484	913.333647135806	996.937789639106	994.015910087939	1161.36598187822	1156.98061487108
Mrps18a	1072.315018736	1077.25409243268	846.833248206578	953.683801105158	981.212946561809	1012.95482404613	933.985345976475	947.971576378144	934.068452805658	924.36554831667
Mrps18b	380.84013221476	361.563280376457	371.374266175156	308.461526173478	260.878045316037	303.886447213838	302.171729580624	404.467872588008	322.287541222291	343.335775089049
