Gene	L11.D8.Tox.KO1.Tim3p_S11	L13.D8.Tox.KO2.Tim3p_S13	L15.D8.Tox.KO3.Tim3p_S15	L17.D8.Tox.KO4.Tim3p_S2	L19.D8.Tox.KO5.Tim3p_S4	L1.D8.Tox.WT1.Tim3p_S1	L3.D8.Tox.WT2.Tim3p_S3	L5.D8.Tox.WT3.Tim3p_S5	L7.D8.Tox.WT4.Tim3p_S7	L9.D8.Tox.WT5.Tim3p_S9
Ly96	158.819941058049	208.575207004377	215.85059935399	69.2998361486036	68.715448350777	53.8933138249272	100.815033241562	197.975045456277	136.029279613731	135.032743636853
Lyar	924.79528178593	984.573516528535	1160.30361708074	1077.61245211079	975.104933739597	673.666422811589	964.809290087468	1551.74726105253	1064.48309285031	1247.27613201409
Lyl1	36.3962364924695	58.3025184933495	63.1341673999813	27.7199344594414	6.54432841435971	6.73666422811589	32.0346834599355	109.3576441568	74.4922245503767	46.1954122968182
Lyn	1956.29771147024	2524.25270209234	2164.47814451017	1737.11589279166	606.986460431863	670.77928099954	2872.75734909833	5333.07062926741	4484.64783742413	2075.24006010322
Lynx1	23.9884285973095	19.7078935752167	48.6303721864721	11.5499726914339	4.90824631076979	0.962380604016556	22.612717736425	56.5642987017933	41.0247033755698	25.7628260886102
Lypd6b	4.13593596505335	0	0	9.23997815314714	8.18041051794964	1.92476120803311	14.1329485852656	2.82821493508967	5.39798728625918	0.88837331340035
Lypla1	2143.24201709065	2174.43759113225	2249.79458694258	1299.37192778632	1768.60475398071	1513.82469011804	1279.50294525272	983.276059099507	1326.82527496251	2097.44939293823
Lypla2	3513.89119590933	3057.18699085549	3596.94121295029	3105.78765672658	2728.984948788	3636.83630257857	3282.61285807103	2813.13112210252	2950.53985066927	3354.49763139972
Lyplal1	2.48156157903201	0	7.67847981891665	0	1.63608210358993	0	0	6.59916818187589	0	0
Lyrm1	210.932734217721	175.728717712349	245.711354205333	218.294483868101	251.956643952849	276.203233352752	248.739895100675	200.803260391366	208.362309249604	188.335142440874
Lyrm2	366.443926503727	329.286055152579	341.265769729629	289.904314554992	248.684479745669	306.037032077265	324.115620888759	343.156745457546	277.456546513722	282.502713661311
Lyrm4	132.349950881707	156.841986369433	194.521488745888	136.28967775892	65.4432841435971	81.8023513414073	97.0462469521574	133.868840260911	119.835317754954	149.246716651259
Lyrm7	62.866226668811	92.7913322499787	54.6025231567406	50.8198798423093	49.0824631076979	35.6080823486126	62.1849737751688	35.8240558444691	21.5919491450367	99.4978111008392
Lyrm9	348.245808257492	455.745038926887	366.007538035027	341.879191666444	409.020525897482	566.842175765752	342.95955233578	400.663782471036	344.391588863336	436.191296879572
Lysmd1	49.6312315806403	52.5543828672446	50.3367010351203	60.0598579954564	35.9938062789784	33.6833211405795	40.5144526110948	44.3087006497381	35.6267160893106	42.6419190432168
Lysmd2	238.229911587073	274.268185588433	238.032874386416	190.57454940866	134.158732494374	255.993240668404	188.439314470209	147.067176624663	140.347669442739	202.54911545528
Lysmd3	588.130094230587	444.248767674677	482.037899743101	408.869033276761	570.992654152885	502.362675296642	502.190773063106	365.782464938263	524.684364224393	615.642706186443
Lysmd4	231.612414042988	231.567749508797	249.977176326953	192.884543946947	175.060785084122	200.175165635444	235.549143087761	200.803260391366	293.6505083725	221.204955036687
Lyst	1577.44597707135	842.512450340515	1810.41490841568	2736.1885306007	2704.44371723415	3126.77458244979	1655.43937762078	1142.59883377622	1676.6148511121	1119.35037488444
Lyve1	0	0	0	0	0	0	0	7.54190649357244	12.955169487022	10.6604797608042
Lyz1	93.4721528102058	27.9195158982237	102.379730918889	13.8599672297207	9.81649262153957	1.92476120803311	40.5144526110948	160.265512988414	171.655995703042	34.6465592226137
Lyz2	42139.3971735426	55422.7025446709	56355.7760487266	26700.0718707878	5255.09571673085	8104.20706642342	58365.3088708577	140964.831533051	96412.371322418	43934.5022142143
Lzic	812.297823536479	632.294918871537	843.779615656507	1004.84762415475	1060.18120312627	1010.49963421738	840.43934253713	983.276059099507	906.861864091543	658.284625229659
Lztfl1	334.183625976311	344.066975333992	319.936659121527	271.424358248697	245.412315538489	253.106098856354	286.427757994717	275.279587015394	220.237881279375	260.293380826303
Lztr1	869.373739854215	861.399181683431	778.085954983554	813.118077476948	1130.53273358064	976.816313076805	840.43934253713	802.270303253768	923.05582595032	904.364033041556
Lzts1	15.7165566672027	18.886731342916	31.5670836999907	25.4099399211546	39.2659704861583	22.1347538923808	19.7861280193719	13.1983363637518	15.1143644015257	23.9860794618095
Lzts2	53.7671675456936	42.7004360796362	58.0151808540369	60.0598579954564	17.9969031394892	11.5485672481987	55.5895977687115	110.300382468497	47.5022881190808	67.5163718184266
Lzts3	20.6796798252668	9.03278455530767	11.944301940537	27.7199344594414	27.8133957610288	10.5861866441821	25.4393074534782	31.1103642859863	16.1939618587775	36.4233058494144
M1ap	23.1612414042988	41.0581116150348	41.8050567918795	24.2549426520112	4.90824631076979	15.3980896642649	52.7630080516584	113.128597403587	61.5370550633547	23.0977061484091
M6pr	6684.49970671923	6631.70618806043	6784.36350222502	7137.88312330617	7687.94980476907	6553.81191335275	6622.69970705548	6886.70336694334	7128.58201023388	6564.19041271519
M6pr-ps	5.7903103510747	0.821162232300697	0.853164424324072	0	1.63608210358993	0	0	0	1.07959745725184	2.66511994020105
Maats1	28.9515517553735	32.0253270597272	31.5670836999907	32.339923536015	73.6236946615468	49.0814108048444	50.8786149069563	35.8240558444691	32.3879237175551	29.3163193422116
Mab21l2	3.30874877204268	3.28464892920279	6.82531539459258	5.77498634571696	4.90824631076979	0.962380604016556	6.5953760064573	0	1.07959745725184	4.44186656700175
Mab21l3	0	0	1.70632884864814	6.92998361486036	0	0.962380604016556	1.88439314470209	4.71369155848278	9.71637711526653	6.21861319380245
Macf1	2234.23260832182	1770.4257728403	2152.53384256963	2882.87318378191	3095.46733999214	5559.67274940365	3200.64175627649	2300.28148053959	3117.8774565433	2043.25862082081
Macrod1	111.670271056441	119.068523683601	74.2253049161943	46.1998907657357	39.2659704861583	37.5328435566457	57.4739909134136	81.0754948059038	88.5269914946506	82.6187181462326
Macrod2	23.9884285973095	18.886731342916	17.0632884864814	5.77498634571696	3.27216420717986	1.92476120803311	25.4393074534782	24.5111961041104	14.0347669442739	26.6511994020105
Mad1l1	637.761325811227	721.801602192313	778.939119407878	996.762643270748	904.75340328523	916.186335023762	1027.93646043499	852.235433773686	809.698092938877	705.368410839878
Mad2l1	2373.20005674761	2236.8459207871	2565.46542394248	2588.34888015034	3129.82506416753	2057.5697313874	1933.38736646434	1951.46830521187	1705.7639824579	2154.30528499585
Mad2l1bp	847.039685642927	767.786687201151	866.815055113257	830.443036514099	958.744112703698	906.562528983596	857.398880839449	815.46863961752	828.051249712159	755.117316390298
Mad2l2	637.761325811227	615.871674225523	656.936606729536	635.248498028866	539.907094184676	605.337399926414	550.242798253009	645.77574351214	580.823432001488	563.228680695822
Madd	3280.62440748032	2901.16616671836	3049.20965253423	4152.2151825705	4731.54944358207	5841.6502663805	4401.94238602407	2472.80259158006	3872.51607916234	3796.9075414731
Maea	1750.32810041058	1869.78640294869	1728.51112368057	1980.82031658092	2012.38098741561	2109.53828400429	1792.05788061168	1902.44591300365	1924.92226628002	1642.60225647725
Maf	476.459823174146	454.923876694586	611.71889224036	338.414199859014	417.200936415432	280.052755768818	392.895970670385	634.462883771782	465.306504075542	464.619242908383
Maf1	3923.34885644961	4138.65765079551	3937.35381825559	3918.90573420353	3669.73215835221	3956.34666311206	4084.42214114177	4050.9465253601	3926.49595202493	3567.70722661581
Mafb	514.510434052637	316.968621668069	348.944249548546	319.93424355272	67.0793662471871	94.3132991936225	787.676334485472	1518.75142014315	1015.90120727398	422.865697178567
Maff	19.8524926322561	18.886731342916	22.1822750324259	5.77498634571696	6.54432841435971	4.81190302008278	13.1907520129146	22.6257194807173	18.3531567732812	13.3255997010053
Mafg	667.540064759611	672.531868254271	716.658116432221	698.773347831753	633.163774089302	412.861279123103	782.023155051366	1120.9158526072	1022.37879201749	799.535982060315
Mafk	830.495941782714	1064.2262530617	1062.18970828347	943.632768890152	705.151386647259	845.932550930553	1024.16767414558	1086.97727338613	1117.38336825565	1088.25730891543
Mag	33.0874877204268	54.196707331846	37.5392346702592	19.6349535754377	4.90824631076979	11.5485672481987	75.3757257880834	100.872999351531	126.312902498465	55.9675187442221
