Gene	L11.D8.Tox.KO1.Tim3p_S11	L13.D8.Tox.KO2.Tim3p_S13	L15.D8.Tox.KO3.Tim3p_S15	L17.D8.Tox.KO4.Tim3p_S2	L19.D8.Tox.KO5.Tim3p_S4	L1.D8.Tox.WT1.Tim3p_S1	L3.D8.Tox.WT2.Tim3p_S3	L5.D8.Tox.WT3.Tim3p_S5	L7.D8.Tox.WT4.Tim3p_S7	L9.D8.Tox.WT5.Tim3p_S9
Itgae	6.9185831017163	6.39242973587102	6.61822116023631	6.75086534308006	6.58586614643996	6.9252149832557	6.98891012413425	7.00048887155477	6.88941016570163	6.67088155131567
Itgal	14.0598279836759	13.8285373356254	13.959650827235	14.3816359774739	14.4625247311657	14.6651835248828	14.1890167266604	13.5233441065274	14.0057608977689	14.0229592752784
Itgam	11.8374972915402	11.4965865020451	11.6587002045462	11.761258539512	11.8320936467573	12.2554988470327	12.1274510943406	12.0948367080138	12.1442714921821	11.9672691649625
Itgav	9.95379366644612	9.76879635476638	9.79405955182871	10.1628835212735	9.94917589393827	10.2016329054859	10.0506198634994	9.3475462715054	10.0271384779001	9.8540621030622
Itgax	12.2019163604136	11.541564683781	12.2386400322844	12.5099450432539	12.3562826673866	12.7839757509913	12.2459558814274	11.5228241506877	11.9998400294482	12.1909569687075
Itgb1	13.7911405907754	14.2598206149567	13.7515002381653	14.0164954361561	14.130229989336	14.0578397654191	13.5692163093234	13.3853732219311	13.6293618593525	13.5614092344784
Itgb1bp1	10.3599016281783	10.2784388849815	10.3055933714182	10.1699181650601	10.3794579791116	10.3971021180792	10.119699030751	10.1743125157674	10.1787571446647	10.2895030065154
Itgb1bp2	4.04071715903075	4.26236795929271	3.69795325371952	3.94204053503253	3.85075351990199	3.85873339595618	3.90116486029117	4.03381985995179	4.38784779432451	3.90533607347888
Itgb2	14.3158763189436	14.0299164018892	14.2782390286867	14.6113323758171	14.6556893742243	14.8513616139837	14.5392564691318	14.2757115832316	14.4964480338434	14.3007391852822
Itgb2l	6.87819304444276	7.1783419973561	6.96855581460981	6.39113095725253	5.46328401614105	5.14538040584479	5.93898238520724	7.1538887260784	7.09279083855653	6.32001908264189
Itgb3	10.3950495563931	10.011857209003	10.2113337619456	10.4370236487725	10.9443343215792	11.1187141432012	10.5378299120839	9.75512479760627	10.0619132272053	10.4936850673251
Itgb3bp	7.40072123599939	7.32671877558015	7.29596209284326	7.36482116252717	7.47116743953636	7.52880509978643	7.15373045499482	7.28673576098207	7.11044854922667	7.38077298067622
Itgb4	2.64235981679361	2.64141062676645	2.64641824905942	3.13822410162713	2.8736836341216	3.00341438544214	2.59518534120854	2.66000432367003	2.57071375512207	2.76447580360706
Itgb5	8.27502389327061	8.34095179879594	8.62027597794523	8.50317420992912	7.91001308602108	7.97961469466176	8.85197281383908	9.44358937231596	9.25235311973282	8.45745394665422
Itgb7	14.2576631369312	14.1475732145637	14.1248563447982	14.4602023343509	14.6526768632062	14.9275859679955	14.5414631990498	14.1770984703679	14.3183565323861	14.3135857236139
Itgb8	0.687857759083647	0.92984153455183	0.688159286966765	0.731440080742712	0.796845342138862	0.689394102942923	0.723254160774212	0.689175854192821	0.86626596983294	0.688563098882987
Itih5	10.604555451079	10.1689776461131	10.4849997355999	11.130248224517	10.8701650999028	11.2195923873321	10.7562816788213	9.88141310706352	10.5030197879663	10.4310249036313
Itk	12.2371348538067	12.0454300358108	12.2388905002606	12.6304173294402	12.7254312059635	12.8741206130818	12.4173767068677	11.6705996080533	12.190144470733	12.2410249090561
Itm2a	9.04345200465487	9.20409267257395	9.093683512996	9.1669478007053	9.350556907442	9.26638643045375	8.8762702154975	8.49224896903001	8.92732878327641	8.83329837170395
Itm2b	14.7777322291877	14.7541831860947	14.7922642038798	14.7273089076757	14.5685427292395	14.7731641440279	14.8754560156932	15.1881636462379	15.1441149270314	14.7506127789242
Itm2c	12.0566122663739	12.1852313971503	12.1560784379883	11.9918982295176	11.9323818894813	12.0217126822893	11.9976651787762	11.9601368843367	12.0953788983093	11.9810389800277
Itpa	9.86394975864279	9.80235073936426	9.89479057921984	9.9969398424148	9.97207174011554	9.89146520277403	9.94736275998626	10.0787839296028	9.84052316194605	9.89650449691528
Itpa-ps1	3.95911057632206	4.13002085535813	3.92453772805173	4.25481673622902	4.20300353306162	4.21422491891354	4.04537255575396	3.85303245765615	4.18365466911278	4.12481213532736
Itpk1	10.20263391029	10.0003026679777	10.0758926862054	10.1146588676976	10.260175338448	10.5740768852928	10.3679426521806	10.1275596978373	10.1165488098318	10.2209556776195
Itpka	4.30453297386292	3.9405284721928	4.42559685875336	4.61309383862698	4.0341218616416	4.0360516171393	4.68024592044119	4.83944303693475	4.63029816788049	4.04134959706159
Itpkb	10.5815274227082	10.2256755920336	10.6080449848024	10.8077825115378	10.9968560168427	11.1666469969653	10.7869538552021	10.0997770024442	10.6918344715372	10.5303710123909
