Gene	L21.D20.Tox.WT1_S6	L22.D20.Tox.WT2_S7	L23.D20.Tox.WT3_S8	L24.D20.Tox.WT4_S9	L25.D20.Tox.WT5_S10	L26.D20.Tox.KO1_S11	L27.D20.Tox.KO2_S12	L28.D20.Tox.KO3_S13	L29.D20.Tox.KO4_S14	L30.D20.Tox.KO5_S15
1700010I14Rik	5.91892579245254	5.89830997823178	5.94475574106806	6.11892191412734	5.94272400699943	6.12200457633996	6.37171105082996	6.34583090009615	6.1952733133336	6.19774484379966
1700010K24Rik	1.01833593838886	1.05406930672538	1.00193807782379	1.00091483349909	1.04760044409688	1.03731800171241	1.04166575182781	1.00155463335065	1.04721976049081	1.04878275068765
1700011H14Rik	0.546479315412725	0.451193933265159	0.484278072490751	0.463942371512136	0.466562299483331	0.46260495405003	0.449559469350195	0.466338263956671	0.449869785088869	0.462475258566751
1700011L03Rik	4.27242159132905	4.19625952834602	4.29993210000833	4.34778061099047	4.05262182597923	4.06142623837183	4.22780738164286	4.25307664177664	4.15441381034333	4.12885774914345
1700012D14Rik	7.53497308067356	7.29511616076653	7.3824039831528	7.67583541493971	7.52084013474978	7.72695529806437	7.84484004757969	7.71301240948804	7.59309782982482	7.50294047694929
1700015C17Rik	0.534924156208273	0.552875340554662	0.567908045620652	0.574226793334944	0.565758754596684	0.546426452222061	0.565093541989144	0.565360566796498	0.533835107421124	0.546296977438142
1700016C15Rik	1.18626231307415	1.23854964374752	1.23516613510308	1.21197817007071	1.20156272545728	1.23346802346434	1.22582763182206	1.18587480551394	1.25391688867597	1.20921383382642
1700016G14Rik	2.07967679253512	2.00300187533237	2.08048161870279	2.09811412088034	1.99964784908028	2.01893886832523	2.02276934400735	1.99934699055154	2.07367012551654	2.03051459435459
1700016K19Rik	0.0896700072145215	0.0898728049822261	0.0896926247353023	0.141431669321465	0.135112658440484	0.0889726663374759	0.12995237981258	0.0894924480933676	0.0888897268656035	0.10117136992191
1700016P03Rik	1.32794510319806	1.31336036449287	1.31189740076154	1.3598179704683	1.38494056035671	1.30603201552912	1.30347263852382	1.31026984393274	1.37408409532233	1.30588480197048
1700017B05Rik	9.98544989383199	10.0231612129056	9.85927894139248	10.1152264147875	10.0153108175844	9.62226532142693	9.63839389751912	9.5884958057171	9.85444891812368	10.2020598134999
1700018A23Rik	0.901164451568854	0.889216292626415	0.836618303477149	0.849326567775047	0.836324190751382	0.860296833138632	0.856151651425115	0.882179761545303	0.85919961821865	0.847785110846029
