Gene	L21.Seq29.FA.11.WT.I	L22.Seq29.FA.11.KO.I	L23.Seq29.FA.12.WT.I	L24.Seq29.FA.12.KO.I	L25.Seq29.FA.13.WT.I	L26.Seq29.FA.13.KO.I	L27.Seq29.FA.14.WT.I	L28.Seq29.FA.14.KO.I	L29.Seq29.FA.15.WT.I	L30.Seq29.FA.15.KO.I
Gm16174	4.07808379669719	4.08774759461722	4.13345107351057	4.10470759045407	4.18382753188463	4.24504287818071	4.13113455152802	4.1378662525955	4.09721393128571	4.12827660424447
Gm16175	0.459374765368016	0.452826917718412	0.459709812261794	0.452752686562448	0.504527488065277	0.460372952240802	0.452499794402862	0.4776797026448	0.453212376094677	0.452394362812825
Gm16177	1.19964716921035	1.2074947848998	1.20677772416552	1.20709953659808	1.23722073131648	1.20753591772796	1.23052475283362	1.2429894443197	1.21836698524478	1.20519031982696
Gm16181	1.09022533158178	1.1000575430395	1.10470363030613	1.08475937063948	1.07053747130002	1.08547666829243	1.07001188270624	1.09510451250444	1.0710975088023	1.08161975274878
Gm16185	3.48265260535375	3.45557772594602	3.4922541141425	3.43948478791208	3.56658403216063	3.50565019403178	3.47155395733887	3.53061820352577	3.49918839554302	3.51160712905162
Gm16196	0.387303547560439	0.361060606511121	0.367883918489449	0.360992328445539	0.361077052227826	0.361067713559038	0.397565085684811	0.36706900431429	0.370249555455282	0.366528756953562
Gm16201	5.25305622898295	5.24583194412377	5.23484682487713	5.2599698680511	5.20415995630163	5.40339120974537	5.3192840251625	5.17381193561089	5.25009780182882	5.2307717354215
Gm16206	4.41845655694934	4.3985553908594	4.43104442363463	4.29165645682051	4.39989595604438	4.37900638653379	4.5149469286361	4.39741595182344	4.44236565169772	4.37105174704712
Gm16209	2.91757634939106	2.8999186349163	2.87495701324347	2.86249565015768	2.87166876788384	2.91423089752031	2.91165381455713	2.83885177055874	2.88863233827818	2.87279937818299
Gm16210	0.220783455888492	0.21423129096546	0.221106203000291	0.23561610470816	0.229270341977677	0.221745068251213	0.220242395449118	0.232830604344821	0.214555329115396	0.213867813297923
Gm16213	3.21092556699425	3.2795337777157	3.17194621032594	3.24228470373962	3.1959687480175	3.20308902238577	3.21923424816961	3.23765827568961	3.2459237076378	3.29590177992631
Gm16214	4.8844866263853	4.91155524665857	5.00487769336098	4.85993502059542	4.95691322518951	4.93118081848542	5.00057940947592	4.89011135416024	4.89035773811155	4.87698700844777
Gm16218	0.43542986747312	0.452572740161696	0.436284115786956	0.415296393278729	0.415387535939554	0.415377491240624	0.415046088372228	0.415059274409704	0.433634139791124	0.414941706863679
Gm16224	2.12004698205287	2.06156759263039	2.0611543405348	2.07578719895258	2.07673669070451	2.10597425200477	2.10994892386267	2.08584293278623	2.11506304905693	2.10101088449756
Gm16225	2.0761611751238	2.0446938810137	2.03682761020839	2.07242082883087	2.08153724120573	2.04474483764377	2.09117724658617	2.08565886036226	2.04723469340247	2.08200907300119
Gm16234	1.57927352710911	1.61711526744096	1.57267077539424	1.62912367358997	1.5730031627859	1.58800187121688	1.6215393861327	1.58496946926256	1.59155671006358	1.58384780436639
Gm16235	1.84153401824295	1.82562400526094	1.8301261240466	1.80317802421822	1.81119793232032	1.80368020985962	1.82016098938461	1.83865309222964	1.79714453347769	1.83545516813617
Gm16236	0.731270105790108	0.706852694288486	0.691815692454728	0.691886293065276	0.699530424218078	0.714290189468401	0.697870932015114	0.710452330867786	0.692423498670944	0.697363577345988
Gm16239	1.54233248031042	1.54277681187892	1.6362401608255	1.54988867027843	1.57286933765459	1.55036499146436	1.55471666431858	1.54210176636496	1.57890749094271	1.56543381003882
Gm16242	5.44491466089173	6.23795243129381	5.42457445997978	6.02298225552809	5.43332934181838	6.09597095772789	5.39756461143969	6.35290795628801	5.4643076956906	6.19561476300083
Gm16244	3.60099158175471	3.52939063060918	3.64832433583635	3.54178328050963	3.59416240159385	3.63390185428674	3.57036813854579	3.55305117549137	3.5466996357374	3.59250748112222
Gm16251	1.45113080299736	1.44064695101914	1.44576701231853	1.43260462585605	1.44087396192551	1.44074505908903	1.43028351394158	1.43665694914902	1.41912383890493	1.43514418214969
Gm16253	1.50311081674922	1.49993743992303	1.48401582287682	1.47741029481399	1.48542691040576	1.49272919827235	1.49460892523562	1.50711330519053	1.48001114889072	1.47538038277486
Gm16267	2.01937461340516	2.06514869664765	2.09361956569847	2.02073104552415	2.02167421536979	2.02902637067114	2.01182876560698	2.02458609127174	2.04293326608832	2.02294201614861
Gm16275	0.10862027386378	0.0953596559170492	0.102254587877041	0.10968273724746	0.0953735375776868	0.102885088965536	0.101402053463624	0.114010010513598	0.104557061670753	0.0950238484455237
Gm16276	1.41257827244125	1.42194289102917	1.4062194486968	1.40656036326553	1.43701049490183	1.41456388807652	1.43016655025263	1.40520809677959	1.44426361083169	1.40453713314497
Gm16278	3.28554770614706	3.27360228543894	3.30166977825245	3.29139879360447	3.25246566848716	3.28097180309681	3.29774618126409	3.3100437308683	3.26998191347485	3.25290024746755
Gm16279	4.28313801540072	4.19578805299302	4.29575708963464	4.30753380313544	4.19662864972157	4.20320801830083	4.20406100239341	4.23391700341509	4.30054668334818	4.27711021636616
Gm16283	4.38036176445595	4.38058115274922	4.35284771193454	4.4400851996698	4.40215426377937	4.44093628532652	4.51106838614458	4.41304254668378	4.42743244274745	4.46824194414237
