Gene	L10.D8.Tox.WT5.Tim3n_S10	L12.D8.Tox.KO1.Tim3n_S12	L14.D8.Tox.KO2.Tim3n_S14	L16.D8.Tox.KO3.Tim3n_S1	L18.D8.Tox.KO4.Tim3n_S3	L20.D8.Tox.KO5.Tim3n_S5	L2.D8.Tox.WT1.Tim3n_S2	L4.D8.Tox.WT2.Tim3n_S4	L6.D8.Tox.WT3.Tim3n_S6	L8.D8.Tox.WT4.Tim3n_S8
Ctdspl2	10.2247227066832	10.2329836729802	10.3736550575419	10.2838108456669	10.2374369272698	10.4292415500251	10.1630659357638	10.2049338522367	10.1788258741252	10.1741703249485
Ctf1	1.29798395085594	1.24560490851553	1.29078263719997	1.24574404226396	1.28283570771416	1.24466113501081	1.36375808459031	1.52445918431938	1.2777668732924	1.35209898086855
Ctf2	3.73802445038904	3.72481064035067	3.88873283107067	3.2735209942244	3.20507776630495	3.18286017026003	3.26482357893265	3.39089091103358	3.35456384601388	3.84065156687375
Ctgf	1.0312155173519	1.27160688640313	1.05485616485842	1.03103570112029	1.03431739809779	1.02997708736542	1.03294415333134	1.03063646775067	1.03281764134267	1.37397835520996
Cth	2.71879014717753	2.33193091041249	2.53157283664351	2.38672593481084	2.41020710072832	2.32963336599627	2.36928189972772	2.83244443852447	2.36866360199148	2.56839531931193
Ctif	1.33186434707202	1.40458037171145	1.30359308308565	1.30480985641476	1.30843716981294	1.30364314826855	1.42472624949685	1.62418153956209	1.33744630053181	1.41285889074984
Ctla2a	10.2313022224322	10.7061557926733	10.4541340771246	10.2402727670386	10.317825790354	10.3026539387451	10.6600575957529	10.151586671732	10.0656981861207	9.55357945376835
Ctla2b	5.96514972390494	6.36755400031447	5.99396036476229	5.84270667590842	6.16990234712023	6.00640841904633	6.50031682483549	5.97375341507871	5.74073094490387	5.46878284012174
Ctla4	10.1619318031244	10.6824175880131	10.4038082198153	10.389990017886	10.6094757976894	10.8231183876213	10.2969407296837	10.3311644498863	10.2012998942051	9.46277666886674
Ctnna1	10.1950529179256	9.88459800659835	10.1263351095044	9.9320545650574	10.0731299202341	9.97182866841815	10.5319267574103	10.2715705022355	10.1950893260919	10.607928280225
Ctnnal1	5.67184000603994	5.7924120796608	5.66759757293871	5.40438769279396	5.52290208152433	5.23429155058005	5.27106059258239	5.27055512237953	5.63699651960825	5.60757727134189
Ctnnb1	11.5418295606594	11.5748690813325	11.5812153580057	11.6527935235532	11.6264503441812	11.6918421615722	11.6525987631394	11.550670853783	11.5707233864901	11.6497965201565
Ctnnbip1	7.24160662666259	7.29935122790578	7.31228340759785	7.29631415244637	7.07613715327694	7.32152853048069	7.33113360641099	7.68631177240287	7.51749209364227	7.48644671575402
Ctnnbl1	10.8599565910318	10.843268376228	10.8432395022915	10.8322421816868	11.0913989687736	10.9780034308557	11.1952603753672	10.959714595187	11.0519155846881	10.7941891460235
Ctnnd1	5.24740428366308	5.3351655596373	5.14110903707119	4.79353705489188	4.46163049300815	4.34430347386376	4.65602052025497	5.26503882959055	5.11417472439784	5.46231664677951
Ctnnd2	1.83474688238797	1.95078715516991	1.97862843526258	1.90705479858017	1.83912947421451	1.83300986735775	1.83718360496899	1.98932261973169	2.11098040871681	2.02758968125066
Ctns	8.47970159572245	8.50557100511984	8.34550813949063	8.44224381694448	8.16736345581757	8.30025894414233	8.65070915589384	8.82550272113736	8.33063304506178	9.00965402699796
Ctps	9.5735730166495	9.50048238631786	9.60251002952454	9.69613462078386	9.64738012149866	9.43774836226977	9.41530248674951	9.52006179791225	9.52313682824302	9.51557215622583
Ctps2	10.7147962781639	10.7628989948617	10.4847428010203	10.7757066250299	10.8187663154023	10.8704924703354	11.0085875279835	10.8794610005305	10.8475193840217	10.7558475349445
Ctr9	10.9128772833978	10.7900971929357	10.8483620898213	10.9199003601025	11.1282116976085	11.2085127344773	11.0928961818984	10.9133949692179	11.0696010649669	10.8042298490981
Ctrb1	2.66246790911714	2.7870856723028	2.49227940550678	2.67887058078122	2.46743230510075	2.423012866487	2.43014481955288	2.60953338413605	2.62415187003161	2.62944284805571
Ctrl	4.86867541699667	5.06992089804694	5.2624398882929	5.16394162535437	5.07406962169889	4.84203057272434	4.99614422441109	4.84239863853684	4.99046627580788	4.82216019802708
Ctsa	13.2171578567533	13.2218934588646	13.3215529157961	13.3254243444672	13.4094057426796	13.2375640634899	13.5053820079044	13.5283638010529	13.480224059846	13.6091955244126
Ctsb	14.7812076616853	14.7823193324908	14.7651909346434	14.514865784453	14.1533221330868	13.9469627937489	14.3552165205383	14.9946626215521	14.8659816086544	15.5946668999995
Ctsc	14.3867703006706	13.9993604749362	14.2562312902686	13.7828301290857	13.5696468391114	13.0035434416079	13.9333361335829	14.5599314922997	14.5919656633443	15.3745542159704
Ctsd	13.8079425198978	13.9430243168537	13.9690311682451	13.7372611984745	13.833989202667	13.7185523362823	14.0188271871525	13.8942019034257	13.8357294761607	13.8412177433496
Ctse	13.2799586424468	13.2390279115107	13.0638856590436	13.1982594748352	13.3533057816153	13.4496072672081	13.3350319532565	12.9475918088848	13.051331709229	12.4039887208334
Ctsf	4.99621257493985	4.27130595195024	4.27613800869485	4.33491094548632	4.61415640335995	4.07383341723717	4.38120130989548	4.60676920528691	4.3981613175012	4.48974038002435
Ctsg	8.64475475002975	7.90822424873787	8.57587174376987	8.25167829893683	7.33305568197433	5.86451718245711	7.2670191150919	7.68490757006435	8.8936490603261	9.04229231238704
Ctsh	11.5366784375308	11.2902244647155	11.407564365579	11.3491155540075	10.2588594940421	9.10081891603379	10.7194523383509	12.0666641952725	11.8448473064819	12.7760821101366
