Gene	L21.D20.Tox.WT1_S6	L22.D20.Tox.WT2_S7	L23.D20.Tox.WT3_S8	L24.D20.Tox.WT4_S9	L25.D20.Tox.WT5_S10	L26.D20.Tox.KO1_S11	L27.D20.Tox.KO2_S12	L28.D20.Tox.KO3_S13	L29.D20.Tox.KO4_S14	L30.D20.Tox.KO5_S15
Pla2g4b	5	22	20	14	44	43	52	27	23	31
Pla2g4c	8	7	5	13	4	11	10	10	11	5
Pla2g4c-ps	0	0	0	0	2	0	0	0	0	0
Pla2g4d	0	0	0	0	0	0	0	0	0	0
Pla2g4e	0	0	0	0	0	0	0	0	0	0
Pla2g4f	0	5	1	4	3	3	2	0	26	1
Pla2g5	0	0	0	0	0	0	0	0	0	8
Pla2g6	279	262	266	321	262	320	517	298	403	354
Pla2g7	142	151	125	272	112	77	67	119	161	481
Pla2r1	0	0	0	2	0	0	0	0	0	0
Plaa	1410	1568	1788	1798	1696	2190	2917	1808	2491	2024
Plac1	0	0	0	0	0	0	0	0	0	0
Plac8	3166	2325	2380	4235	2731	1964	3198	1904	2923	3987
Plac8l1	0	0	0	0	0	0	0	0	0	0
Plac9a	0	0	0	0	0	0	0	0	0	0
Plac9b	0	0	0	0	0	0	0	0	0	0
Plag1	0	1	12	12	0	4	0	5	0	1
Plagl1	10	6	0	3	0	12	64	32	8	14
Plagl2	310	309	463	431	429	684	614	497	424	434
Plat	0	0	0	0	0	27	15	8	31	14
Platr1	0	4	9	2	2	0	4	18	7	1
Platr10	4	0	5	4	2	1	1	1	0	1
Platr11	0	0	0	0	1	4	14	5	19	6
Platr12	0	0	1	0	0	0	0	0	1	0
Platr13	0	0	0	0	0	0	0	0	0	0
Platr14	0	3	1	9	8	19	25	22	6	19
Platr15	0	0	0	0	0	0	0	0	0	0
Platr16	1	0	0	0	0	0	0	0	1	0
Platr17	6	7	12	36	16	25	25	36	38	43
Platr19	0	0	0	0	0	0	0	0	0	0
Platr2	0	0	0	0	0	0	0	0	0	0
Platr20	0	0	0	0	0	0	0	0	0	0
Platr21	0	0	0	0	0	0	0	0	0	0
Platr22	0	0	0	0	0	0	0	0	0	0
Platr23	0	0	1	3	1	1	0	1	0	0
Platr25	196	242	259	337	266	492	562	301	359	324
Platr26	0	0	1	0	0	0	0	0	0	0
Platr27	1	4	1	5	0	5	5	4	5	4
Platr28	0	0	0	0	0	0	0	0	0	0
Platr29	1	4	0	2	0	1	6	0	7	14
Platr3	0	0	0	0	0	0	0	0	0	6
Platr30	0	0	0	0	0	0	0	0	0	0
Platr31	0	0	1	0	0	3	1	0	0	0
Platr32	0	0	0	0	0	0	0	0	0	0
Platr4	0	0	0	0	0	0	0	0	0	0
Platr5	0	0	0	0	0	0	0	0	0	0
Platr6	2	1	0	0	0	1	0	0	1	0
Platr7	0	0	0	0	0	1	0	0	0	0
Platr8	10	3	0	0	1	8	2	0	0	4
Platr9	0	0	0	0	0	0	0	0	0	0
Plau	0	3	0	1	2	0	0	0	0	0
Plaur	63	79	80	430	66	18	8	54	124	563
Plb1	0	0	2	0	0	0	0	1	0	18
Plbd1	181	264	179	961	170	118	107	185	250	1163
Plbd2	709	607	650	828	680	947	1199	762	1200	1083
Plcb1	0	0	0	13	4	0	0	0	0	16
Plcb2	440	379	348	420	423	1036	1154	774	903	682
Plcb3	403	397	423	436	447	431	511	385	421	463
Plcb4	0	7	8	35	6	30	37	75	35	27
Plcd1	19	38	55	5	33	136	22	85	96	111
Plcd3	33	21	26	28	24	14	4	8	5	60
Plcd4	6	2	3	1	9	3	5	15	4	0
Plce1	12	10	3	8	7	3	12	10	7	18
Plcg1	2642	3297	3845	2898	3745	4893	6200	3527	4247	2942
Plcg2	428	710	578	1472	565	323	212	511	697	2431
Plch1	1	0	0	0	0	1	0	0	0	0
Plch2	0	0	1	0	1	0	2	0	0	0
Plcl1	50	49	36	89	64	212	222	174	179	151
Plcl2	1563	1886	2157	2148	2250	2139	2553	1523	2189	1701
Plcxd1	29	43	64	59	52	41	104	43	63	51
Plcxd2	536	495	473	577	587	688	1160	637	661	622
Plcxd3	0	0	0	0	0	0	0	0	2	0
Plcz1	0	0	0	0	0	0	0	0	0	0
Pld1	0	5	2	27	0	9	4	11	0	30
Pld2	257	328	330	250	301	406	391	352	374	298
Pld3	6245	5748	6181	6687	6267	7165	9437	4974	8496	6778
Pld4	429	496	374	1768	401	124	94	479	612	3300
Pld5	0	0	0	0	0	0	0	0	0	1
Pld6	0	0	0	0	0	0	0	2	4	0
Pldi	0	0	0	0	0	0	0	0	0	0
Plec	5361	4001	4758	2743	3948	5380	3996	3115	3687	3860
Plek	5323	6419	7620	8705	7553	11567	10366	6190	9293	6633
Plek2	0	6	2	6	3	1	3	7	7	21
Plekha1	663	693	967	1265	994	938	1632	605	872	867
Plekha2	3201	3979	4546	4746	4171	3880	6626	3376	4495	3985
Plekha3	1146	1379	1530	1891	1685	2378	3166	1611	2550	1793
Plekha4	3	0	3	15	3	6	5	7	10	16
Plekha5	943	870	1044	857	974	1184	1269	1035	1212	860
Plekha6	21	26	35	7	31	45	18	9	42	27
Plekha7	30	56	87	53	52	62	107	44	43	75
Plekha8	32	16	19	41	23	48	71	22	34	60
Plekhb1	0	0	4	0	0	1	0	1	1	2
Plekhb2	4464	5747	6653	6707	5829	6820	9819	5234	7496	5581
Plekhd1	0	5	1	0	0	0	0	4	0	0
Plekhd1os	0	0	0	0	0	0	0	0	0	0
Plekhf1	1013	979	1158	1410	1070	693	1059	467	875	608
Plekhf2	810	1053	1118	1549	1135	1578	2173	1260	1640	1459
Plekhg1	0	0	0	6	1	0	0	0	8	27
Plekhg2	630	734	748	993	796	1210	1424	997	1166	920
Plekhg3	238	187	236	218	291	295	312	143	270	269
Plekhg4	0	6	0	0	0	0	1	5	0	3
Plekhg5	168	140	293	172	207	417	223	196	282	305
Plekhg6	5	4	3	7	5	6	5	7	9	4
Plekhh1	1	1	0	3	3	0	4	0	0	0
Plekhh2	0	0	0	0	0	0	0	0	0	0
Plekhh3	114	57	84	56	80	87	70	38	80	73
Plekhj1	1893	1332	1232	2500	1727	2210	2612	1756	2907	2498
Plekhm1	651	991	1155	1069	986	1372	1584	945	1068	1084
Plekhm2	412	378	362	454	435	460	615	375	504	546
Plekhm3	593	428	726	444	414	624	608	332	566	784
Plekhn1	643	594	698	843	729	1115	1221	809	941	909
Plekho1	89	79	59	233	83	118	122	183	190	492
Plekho2	1728	2109	2561	2836	2437	3150	3568	2212	3279	3161
Plekhs1	0	0	0	1	0	0	0	0	0	0
Plet1	1	0	1	3	1	1	1	2	0	1
Plet1os	0	0	1	0	2	0	0	1	0	0
Plg	0	0	0	0	0	0	0	0	0	0
Plgrkt	2301	1872	2067	2604	1968	2621	3103	1952	2794	2289
Plin1	0	0	0	0	1	1	0	0	1	1
Plin2	445	593	439	799	494	602	774	522	613	765
Plin3	318	472	531	538	378	678	694	558	719	1064
Plin4	0	0	0	0	0	1	3	1	0	0
Plin5	10	0	3	6	4	39	4	9	4	14
Plk-ps1	0	13	5	4	3	5	2	3	1	1
Plk1	243	228	222	530	294	227	211	248	378	950
Plk2	21	7	11	35	11	24	23	33	94	78
Plk3	701	804	675	1629	996	904	2106	1158	1658	969
Plk4	448	465	477	705	640	639	722	646	679	813
Plk5	0	4	0	0	0	0	0	0	0	0
Pllp	0	0	1	0	0	1	0	1	0	0
Pln	3	4	5	2	7	8	21	14	6	8
Plod1	155	214	229	228	207	334	344	222	261	320
Plod2	164	157	167	175	113	241	348	232	278	207
Plod3	142	254	176	306	227	269	290	239	328	311
Plp1	0	2	11	1	15	27	22	18	24	9
Plp2	298	237	300	359	295	384	340	268	416	511
Plpbp	1192	1171	1250	1205	1141	1643	1824	1199	1583	1544
Plpp1	29	11	9	71	21	25	48	23	47	125
Plpp2	114	104	111	120	121	196	147	119	255	147
Plpp3	12	14	8	79	17	5	3	13	19	58
Plpp4	0	0	0	0	0	0	0	0	0	0
Plpp5	132	147	121	271	128	168	229	188	320	731
Plpp6	373	372	443	481	475	719	789	449	623	545
Plpp7	0	0	0	0	1	0	0	5	0	8
Plppr1	0	0	0	0	0	0	0	0	0	0
Plppr2	12	16	12	6	1	23	19	10	22	25
Plppr3	37	56	63	42	50	87	65	33	62	59
Plppr4	0	0	0	0	0	0	0	0	0	0
Plppr5	0	0	0	0	0	0	0	0	0	0
Plrg1	1106	1049	959	1396	1044	1733	1994	1339	1795	1774
Pls1	9	21	20	29	26	39	15	10	22	71
Pls3	79	70	67	71	53	83	47	53	108	67
Plscr1	1110	1063	753	1385	1023	1384	1943	1285	1837	1343
