geneName	L21.Seq29.FA.11.WT.I	L22.Seq29.FA.11.KO.I	L23.Seq29.FA.12.WT.I	L24.Seq29.FA.12.KO.I	L25.Seq29.FA.13.WT.I	L26.Seq29.FA.13.KO.I	L27.Seq29.FA.14.WT.I	L28.Seq29.FA.14.KO.I	L29.Seq29.FA.15.WT.I	L30.Seq29.FA.15.KO.I
Svs6	0	0	0	0	0	0	0	0	0	0
Swap70	1558	1040	1466	1189	1170	989	1684	1347	1094	1464
Swi5	1392	1343	1432	2005	1698	1723	1877	2013	1114	2804
Swsap1	168	162	201	282	166	183	264	210	121	294
Swt1	648	630	936	732	649	731	1026	807	921	1034
Syap1	1592	1599	1724	1388	1301	1309	1675	1875	1350	1633
Sybu	0	0	0	0	0	6	0	0	0	0
Syce1	0	1	0	12	3	4	0	0	0	11
Syce1l	2	14	7	6	0	2	4	1	1	0
Syce2	298	261	243	278	209	258	223	247	173	272
Syce3	0	0	0	0	0	0	0	0	0	0
Sycn	0	0	0	2	0	0	2	3	0	4
Sycp1	0	0	0	0	0	0	0	0	0	0
Sycp1-ps1	0	0	0	0	0	0	0	0	0	0
Sycp2	0	0	0	0	0	0	0	0	0	0
Sycp2l	0	0	0	0	0	0	0	0	0	0
Sycp3	1	1	0	0	0	1	0	0	3	1
Syde1	2	0	11	6	4	3	19	0	3	0
Syde2	8	0	0	0	0	3	0	0	4	0
Syf2	3851	3046	3425	2955	3006	3290	3727	3580	2432	3638
Syk	950	469	850	361	921	250	1003	462	489	231
Sympk	859	797	795	682	709	847	925	882	530	576
Syn1	2	2	8	0	1	3	6	4	0	1
Syn2	2	0	0	0	0	0	0	0	0	0
Syn3	0	0	0	1	0	0	0	0	1	0
Syna	0	14	2	14	0	4	7	2	2	3
Synb	0	0	0	0	0	0	0	0	0	0
Sync	2	0	1	3	0	0	0	2	0	3
Syncrip	2233	2101	2493	1940	1759	1775	2373	2611	2131	2522
Syndig1	0	0	0	0	0	0	0	0	0	0
Syndig1l	0	0	0	0	0	0	0	0	0	1
Syne1	1243	981	989	804	805	629	931	984	643	628
Syne2	1285	904	1054	837	846	810	968	976	579	1006
Syne3	520	630	352	493	412	567	305	671	283	382
Syne4	13	25	0	6	32	36	25	26	7	17
Syngap1	2	1	3	3	5	2	3	4	0	1
Syngr1	4	0	0	0	1	0	5	5	1	1
Syngr2	1951	1777	1832	1950	1857	1809	2352	2168	984	2662
Syngr3	66	64	71	105	89	105	145	114	66	123
Syngr4	4	1	2	11	5	7	6	0	0	12
Synj1	1430	1480	1798	1292	1467	1209	1724	1565	1345	1329
Synj2	455	473	253	216	303	235	380	426	209	226
Synj2bp	687	617	912	737	638	632	916	1040	661	1152
Synm	0	0	0	0	0	0	0	0	0	0
Synpo	179	339	138	220	157	230	157	300	105	186
Synpo2	0	0	24	0	4	15	8	27	0	0
Synpo2l	6	0	3	4	15	1	0	4	1	3
Synpr	0	0	0	2	0	0	0	2	0	0
Synrg	2463	1612	1800	1129	1369	1319	1634	1855	1018	1264
Syp	5	11	6	7	8	9	6	12	6	4
Sypl	836	906	817	977	694	981	961	1127	792	1280
Sypl2	0	0	0	0	0	0	0	1	0	0
Sys1	1040	1033	964	1159	1042	1115	1216	1207	737	1664
Syt1	0	0	0	5	0	0	0	0	0	0
Syt10	0	0	0	0	0	0	0	0	0	0
Syt11	1765	1964	1963	1978	1862	1834	2712	2336	1313	2305
Syt12	2	0	0	1	1	0	0	0	0	0
Syt13	0	0	0	0	0	0	0	0	0	0
Syt14	3	0	1	8	1	9	0	0	6	5
Syt15	0	5	0	0	0	7	5	0	0	0
Syt16	0	0	0	0	0	0	0	1	0	0
Syt17	0	0	0	0	0	0	0	0	0	0
Syt2	0	0	1	2	0	0	0	0	1	1
Syt3	0	0	0	8	0	0	0	0	0	0
Syt4	0	0	0	0	0	0	0	0	0	0
Syt5	0	0	0	0	3	3	0	0	1	4
Syt6	31	0	35	1	32	0	55	0	6	0
Syt7	0	0	0	0	0	0	0	0	0	0
Syt8	0	0	0	1	0	0	4	0	0	0
Syt9	0	0	0	0	0	0	0	0	0	0
Sytl1	573	438	402	606	481	553	593	718	304	702
Sytl2	5124	3474	5575	3342	4088	3087	4767	4323	3865	3260
Sytl3	3536	2751	2392	1816	3023	2661	2419	2337	1808	2700
Sytl4	0	0	0	0	0	0	0	0	0	0
Sytl5	0	0	0	0	0	0	0	0	0	0
Syvn1	842	743	732	1040	908	1054	1250	1264	648	1093
